idhh,id,name_latin,id_cg,pop_t_2014,log_t_2014,log_hosp_1k_2014,log_hosp_2k_2014,log_hosp_2k+_2014,delegation,firms
TN43C,TN27C,Ouled Haffouz,TS223B,19579,6006,7.410696754,13.30593473,79.28336852,4362,697
TN511,TN311,Gabes Medina,TS3110,46731,14089,5.999181004,23.1253153,70.87550369,5151,5975
TN512,TN312,Gabes Ouest,TS3111,31768,8644,2.365239447,18.57056964,79.06419091,5152,1778
TN513,TN313,Gabes Sud,TS3112,74422,22734,20.16715654,46.3755471,33.45729636,5153,3716
TN514,TN314,Ghannouch,TS3113,28051,5829,2.591158732,7.6950609,89.71378037,5154,1248
TN515,TN315,ElMetouia,TS3114,27878,7841,17.3988508,26.59689071,56.00425849,5155,1568
TN516,TN316,Menzel El Habib,TS3115,10148,2620,7.513019532,16.52741123,75.95956923,5156,284
TN517,TN317,EL Hamma,TS3116,73512,17993,9.302745715,47.10085646,43.59639782,5157,3013
TN518,TN318,Matmata,TS3117,4444,1845,3.483930975,23.76752516,72.74854386,5158,166
TN519,TN319,La Nouvelle matmata,TS3118,14224,5966,16.37930242,27.27263545,56.34806213,5159,692
TN51A,TN31A,Mareth,TS3119,63122,19533,4.165725324,12.49445288,83.3398218,5160,3217
TN521,TN321,Medenine Nord,TS3120,54769,17418,8.080885757,31.57615776,60.34295649,5251,5513
TN522,TN322,Medenine Sud,TS3121,54640,17229,5.897405953,26.22004636,67.88254768,5252,2625
TN523,TN323,Beni Khadech,TS3122,25885,9453,7.518377619,10.2289216,82.25270078,5253,704
TN524,TN324,Ben Guerdane,TS3123,79912,21053,8.654384371,34.33032329,57.01529234,5254,4183
TN525,TN325,Zarzis,TS3124,75382,30319,5.03723259,17.32669842,77.63606899,5255,8611
TN526,TN326,Djerba Houmet Souk,TS3125,75904,27321,10.94968143,32.32028563,56.73003294,5256,7156
TN527,TN327,Djerba Midoun,TS3126,63528,25342,8.746921413,24.2612824,66.99179619,5257,4843
TN528,TN328,Djerba Ajim,TS3127,24294,8629,1.166192113,2.874195305,95.95961258,5258,1553
TN529,TN329,Sidi Makhlouf,TS3128,25206,8107,3.226949821,6.773618426,89.99943175,5259,609
TN531,TN331,Tataouine Nord,TS3130,61431,17363,7.705308191,9.126827528,83.16786428,5351,6051
TN532,TN332,Tataouine Sud,TS3131,34344,9175,17.51616057,22.25572425,60.22811518,5352,572
TN533,TN333,Smar,TS3132,14793,4236,6.846244148,11.96448535,81.1892705,5353,663
TN534,TN334,Bir  Lahmar,TS3133,8460,3341,17.51680812,46.3885632,36.09462869,5354,373
TN535,TN335,Ghomrassen,TS3134,15957,7785,5.874290025,37.62185362,56.50385635,5355,815
TN536,TN336,Dhehiba,TS3135,4295,986,11.49227725,3.165062768,85.34265998,5356,234
TN537,TN337,Remeda,TS3136,10173,2606,46.29899263,11.83033623,41.87067114,5357,328
TN611,TN341,Gafsa Nord,TS3210,10022,2434,4.730041362,5.250807785,90.01915085,6151,476
TN612,TN342,Sidi Aich,TS3211,10084,2704,5.077592765,4.07308909,90.84931815,6152,258
TN613,TN343,El ksar,TS3212,36482,9799,5.564312421,26.19829324,68.23739434,6153,2004
TN614,TN344,Gafsa Sud,TS3213,101148,29478,10.33657181,53.2003403,36.46308789,6154,7191
TN615,TN345,Om EL Araies,TS3214,27012,6885,9.296299919,33.12264368,57.5810564,6155,665
TN616,TN346,Redeyef,TS3215,26976,6513,16.85436768,47.48259002,35.6630423,6156,484
TN617,TN347,Metlaoui,TS3216,38634,9959,8.880174236,55.89669571,35.22313006,6157,1057
TN618,TN348,Mdhila,TS3217,15306,3569,17.49748132,59.40478494,23.09773374,6158,470
TN619,TN349,El Gtar,TS3218,20137,5756,22.68755052,44.55704339,32.75540609,6159,942
TN61A,TN34A,Belkhir,TS3219,14784,3877,12.07985752,11.9878635,75.93227898,6160,356
TN61B,TN34B,Sned,TS321A,36746,8972,9.191969595,26.3304993,64.47753111,6161,999
TN621,TN351,Tozeur,TS3220,46422,13379,17.05215934,74.96500399,7.982836669,6251,3615
TN622,TN352,Degach,TS3221,28543,7616,21.08182904,26.65319875,52.2649722,6252,1800
TN623,TN353,Tameghza,TS3222,6516,1731,36.48984036,7.886865041,55.6232946,6253,237
TN624,TN354,Nafta,TS3223,21731,5983,42.17549966,55.19757705,2.626923282,6254,953
TN625,TN355,Hazoua,TS3224,4700,974,11.10119518,85.26983626,3.628968567,6255,204
TN631,TN361,Kebeli Sud,TS3230,30447,7759,2.012729086,14.49226957,83.49500135,6351,4019
TN632,TN362,Kebeli Nord,TS3231,31854,9085,10.57165688,25.22813751,64.20020561,6352,837
TN633,TN363,Souk El Ahed,TS3232,27865,7565,11.9528228,32.17810873,55.86906848,6353,1935
TN634,TN364,Douz Nord,TS3233,28617,6776,8.848302825,54.9231014,36.22859578,6354,1477
TN635,TN365,Douz Sud,TS3234,18565,4346,5.798737175,25.98660352,68.2146593,6355,1339
TN636,TN366,Faouar,TS3235,19613,4864,8.764396165,22.40979547,68.82580837,6356,556
