idkikj,idj,name_latin,id_cg,NOM_AR,gou,gou_nom,reg,reg_nom,zon,zon_nom,cap_gou,dist_cap_gou,niveau_urbain,dist_cap_tunis,dist_port_export,population_2014,idr_2011,delegation,gouvernorat,firmsdeleg,firmsgouv
TN244,TN1B4,Gaâfour,TS1243,قعفور,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"23,2",(1) moins de 10 000,"100,1","109,9",16934,"0,211",2454,24,775,10362
TN245,TN1B5,El Krib,TS1244,الكريب,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"39,5",(1) moins de 10 000,"112,7","115,1",20155,"0,255",2455,24,1043,10362
TN246,TN1B6,Bourouis,TS1245,بورويس,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"22,1",(1) moins de 10 000,"119,7","128,7",12618,"0,2",2456,24,487,10362
TN247,TN1B7,Makthar,TS1246,مكثر,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"26,7",(2) 10-20 000,144,"143,5",29052,"0,223",2457,24,1477,10362
TN248,TN1B8,Er Rouhia,TS1247,الروحية,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"47,7",(1) moins de 10 000,"160,1","140,8",25951,"0,115",2458,24,779,10362
TN249,TN1B9,Kesra,TS1248,كسرى,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"31,9",(1) moins de 10 000,"137,5","122,3",16404,"0,124",2459,24,595,10362
TN24A,TN1BA,Bargou,TS1249,برقو,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"31,5",(1) moins de 10 000,"95,9","102,8",12482,"0,175",2460,24,531,10362
TN24B,TN1BB,El Aroussa,TS124A,العروسة,TS124,Siliana,TS12,Nord-ouest,TS1,Nord,0,"41,5",(1) moins de 10 000,"82,1","92,7",9907,"0,162",2461,24,306,10362
TN311,TN211,Sousse Medina,TS2110,سوسة المدينة,TS211,Sousse,TS21,Centre-est,TS2,Centre,1,1,(5) 100 000-1 000 000,119,5,35288,"0,686",3151,31,14772,62117
TN312,TN212,Sousse Riadh,TS2111,سوسة الرياض,TS211,Sousse,TS21,Centre-est,TS2,Centre,0,"6,8",(5) 100 000-1 000 000,"123,4","10,8",64532,"0,465",3152,31,4703,62117
